oid,kod KTS,województwo,powierzchnia,rok,TERYT,Wskaźniki - kina|liczba ludności na 1 miejsce w kinach stałych|||||
1,11200000000,małopolskie,15183,2021,12,151
2,12400000000,śląskie,12333,2021,24,102
3,20800000000,lubuskie,13988,2021,8,196
4,23000000000,wielkopolskie,29826,2021,30,126
5,23200000000,zachodniopomorskie,22905,2021,32,148
6,30200000000,dolnośląskie,19947,2021,2,90
7,31600000000,opolskie,9412,2021,16,184
8,40400000000,kujawsko-pomorskie,17971,2021,4,137
9,42200000000,pomorskie,18323,2021,22,135
10,42800000000,warmińsko-mazurskie,24173,2021,28,158
11,51000000000,łódzkie,18219,2021,10,165
12,52600000000,świętokrzyskie,11710,2021,26,174
13,60600000000,lubelskie,25123,2021,6,178
14,61800000000,podkarpackie,17846,2021,18,143
15,62000000000,podlaskie,20187,2021,20,176
16,71400000000,mazowieckie,35559,2021,14,105
