Kod,Nazwa,dolnośląskie,kujawsko-pomorskie,lubelskie,lubuskie,łódzkie,małopolskie,mazowieckie,opolskie,podkarpackie,podlaskie,pomorskie,śląskie,świętokrzyskie,warmińsko-mazurskie,wielkopolskie,zachodniopomorskie
,,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
,,[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba]
0000000,POLSKA,"9,763","4,119","3,321","2,826","4,307","10,451","20,890","2,675","3,814","2,187","9,241","7,172","2,727","3,709","8,317","4,238"
0200000,DOLNOŚLĄSKIE,0,170,159,748,308,453,868,792,244,83,367,594,104,123,"1,064",381
0400000,KUJAWSKO-POMORSKIE,272,0,68,99,220,172,"1,265",41,65,50,"1,569",201,43,308,"1,596",354
0600000,LUBELSKIE,418,89,0,70,171,710,"4,579",67,742,103,373,348,152,106,278,136
0800000,LUBUSKIE,"1,030",91,39,0,50,125,285,89,52,30,158,136,12,36,"1,165",596
1000000,ŁÓDZKIE,887,221,104,83,0,365,"2,271",192,99,72,430,636,213,122,728,166
1200000,MAŁOPOLSKIE,452,94,163,68,174,0,"1,025",120,951,52,315,"1,998",512,74,171,170
1400000,MAZOWIECKIE,604,729,"1,316",135,"1,096",674,0,78,370,796,"1,172",611,568,"1,044",558,305
1600000,OPOLSKIE,"1,469",33,38,49,160,204,246,0,61,21,101,765,34,37,161,60
1800000,PODKARPACKIE,443,52,487,47,115,"2,477","1,070",75,0,43,163,457,291,66,127,98
2000000,PODLASKIE,129,63,103,22,74,127,"2,029",19,55,0,343,90,20,616,109,45
2200000,POMORSKIE,266,727,114,107,102,204,849,36,102,104,0,193,51,707,397,691
2400000,ŚLĄSKIE,"1,381",275,272,156,732,"3,001","1,457",929,472,95,544,0,584,220,395,349
2600000,ŚWIĘTOKRZYSKIE,284,47,209,36,276,"1,357","1,621",32,367,29,126,524,0,35,123,82
2800000,WARMIŃSKO-MAZURSKIE,204,468,80,56,125,131,"1,716",37,73,582,"2,082",144,31,0,225,146
3000000,WIELKOPOLSKIE,"1,472",781,73,602,569,248,869,129,100,57,491,287,73,108,0,659
3200000,ZACHODNIOPOMORSKIE,452,279,96,548,135,203,740,39,61,70,"1,007",188,39,107,"1,220",0
